antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.047313336210617174,0.04256581786793267,0.028593008200258955,0.6043329532497149,14.197611687499007,1.0,0.02657907734839356,2.4197976303453115,0.9757306926715438,0.4665492957746478,0.5867423013149669,0.6380346642040717
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04256581786793267,0.047313336210617174,0.028593008200258955,0.6717363751584284,14.197611687499009,1.0,0.02657907734839356,2.902199914014761,0.9708924495343885,0.4665492957746478,0.6554337986260054,0.6380346642040717
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03307078118256366,0.047313336210617174,0.021363832542080276,0.6460032626427407,13.653724602446799,1.0,0.019799143553241888,2.6912300686769206,0.9584568273822304,0.36197440585009144,0.6284227009652779,0.5487713006486223
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.03323262839879154,0.03798014674147605,0.022874406560207165,0.6883116883116883,18.12293388429752,1.0,0.021612226457016118,3.086480362537764,0.9772995283018867,0.4732142857142858,0.6760063624128227,0.6452922077922079
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.03798014674147605,0.03323262839879154,0.022874406560207165,0.6022727272727273,18.12293388429752,1.0,0.021612226457016118,2.430729391454467,0.9821224510525914,0.4732142857142858,0.5886008522727273,0.6452922077922079
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.034257660768234784,0.04078549848942598,0.024978420371169617,0.7291338582677166,17.877282006415864,1.0,0.02358120459965551,3.541286095693108,0.977551720447583,0.4989224137931035,0.7176167152334305,0.6707838603507895
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.04078549848942598,0.034257660768234784,0.024978420371169617,0.6124338624338624,17.877282006415868,1.0,0.02358120459965551,2.4918129981543156,0.984204350266152,0.4989224137931035,0.5986857758825805,0.6707838603507895
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03727880880448856,0.029995684074233923,0.024816573154941735,0.6657018813314037,22.19325552582536,1.0,0.023698369783378526,2.901614642011707,0.9919188178396091,0.5844980940279542,0.6553642976840323,0.7465200054139033
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.029995684074233923,0.03727880880448856,0.024816573154941735,0.8273381294964028,22.19325552582536,1.0,0.023698369783378526,5.575760232340669,0.9844711515210137,0.5844980940279542,0.8206522593637054,0.7465200054139033
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.03727880880448856,0.09192921881743633,0.02017695295640915,0.5412445730824892,5.887622891230646,1.0,0.01674994118456795,1.9794224283821815,0.8622975923092943,0.1850569025235032,0.4948021272966385,0.3803640705788033
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.04224212343547691,0.03727880880448856,0.029186447993094517,0.6909323116219668,18.534184266606044,1.0,0.027611711950047767,3.1149202177937414,0.9877711954752277,0.5798499464094318,0.6789644902339466,0.7369278055939067
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03727880880448856,0.04224212343547691,0.029186447993094517,0.7829232995658466,18.534184266606044,1.0,0.027611711950047767,4.4120712847072365,0.9826787354032904,0.5798499464094318,0.7733490835775662,0.7369278055939067
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.04321320673284419,0.05184505826499784,0.021957272334915838,0.5081148564294632,9.800642017457367,1.0,0.019716881114034135,1.9275941835780122,0.9385224320098863,0.30036900369003694,0.4812186047668011,0.46581601302222375
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.046989641778161416,0.08631851532153648,0.02945619335347432,0.6268656716417911,7.262238805970149,1.0,0.025400117239692585,2.4486663789382823,0.9048185138759722,0.28363636363636363,0.5916144360859849,0.48405783582089557
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03528269313767803,0.08631851532153648,0.02233491583944756,0.6330275229357798,7.333623853211009,1.0,0.019289366151257828,2.489782045748813,0.8952278138975474,0.22499999999999995,0.5983584178753906,0.4458887614678899
frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04261976694000863,0.08631851532153648,0.021363832542080276,0.5012658227848101,5.807164556962025,1.0,0.01768495753646883,1.8320009464365132,0.8646501075217407,0.19859578736208625,0.4541487536100166,0.37438291139240504
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04175658178679327,0.08631851532153648,0.023413897280966767,0.5607235142118863,6.4959819121447016,1.0,0.01980953113622846,2.0799690268856788,0.8829266849905328,0.22371134020618552,0.5192236100278416,0.41598675710594313
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.05022658610271903,0.06948640483383686,0.028215364695727232,0.5617615467239527,8.084481389809929,1.0,0.024725299800372132,2.1233043066169066,0.9226476703830553,0.30837264150943394,0.5290359479403518,0.48390872367253535
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.048500215796288305,0.06948640483383686,0.024277082434182133,0.5005561735261401,7.203656236397929,1.0,0.020906976804832795,1.8630996036845895,0.9050780871022409,0.2590673575129534,0.46326004362711815,0.42496752775685886
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04423823910228744,0.06948640483383686,0.023359948208890806,0.5280487804878048,7.599310710498408,1.0,0.02028599201749319,1.9716308734786916,0.9086041662212679,0.25850746268656716,0.4928056699398162,0.4321144523557036
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.03760250323694433,0.052870090634441085,0.024331031506258094,0.6470588235294118,12.238655462184875,1.0,0.022342983752038983,2.6835347432024172,0.9541708921719012,0.367862969004894,0.6273571629608782,0.5536314525810324
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04224212343547691,0.029995684074233923,0.02352179542511869,0.5568326947637292,18.563760485864183,1.0,0.02225471403592333,2.1887993641783137,0.9878609481689876,0.48283499446290146,0.5431285222547544,0.6705026783171164
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.029995684074233923,0.04224212343547691,0.02352179542511869,0.7841726618705036,18.563760485864183,1.0,0.02225471403592333,4.437611494748957,0.9753890663428273,0.48283499446290146,0.7746535492835945,0.6705026783171164
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03663141993957704,0.10633362106171775,0.024546827794561934,0.6701030927835051,6.301892911128894,1.0,0.0206516762677543,2.7089262111566677,0.8733080326181072,0.2072892938496583,0.6308500409197133,0.4504751892126556
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.04224212343547691,0.09192921881743633,0.022658610271903322,0.5363984674329502,5.834907272498336,1.0,0.01877532486329021,1.9587311891623893,0.8651640366618116,0.20319303338171263,0.48946542254854825,0.3914386703361934
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.0437526974536038,0.04725938713854122,0.025248165731549418,0.5770653514180024,12.210597435940745,1.0,0.02318044006423409,2.2526899038794257,0.9601113883765505,0.38392124692370794,0.5560862601293372,0.555655963380234
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.04725938713854122,0.0437526974536038,0.025248165731549418,0.5342465753424658,12.210597435940747,1.0,0.02318044006423409,2.053119208408439,0.9636452071899411,0.38392124692370794,0.5129362211874723,0.555655963380234
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.029186447993094517,0.029995684074233923,0.021040138109624514,0.7208872458410351,24.033032354153647,1.0,0.02016467063637459,3.4753134762638376,0.9872035679426621,0.5516265912305516,0.7122561729093119,0.7111630473809492
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.02352179542511869,0.03727880880448856,0.021040138109624514,0.8944954128440367,23.994742362484896,1.0,0.02016327359523322,9.124922594809627,0.9814086981158804,0.5291723202170963,0.890410029278625,0.7294474169864178
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.024816573154941735,0.04224212343547691,0.021040138109624514,0.8478260869565217,20.07063135099117,1.0,0.019991833363167923,6.293837474566866,0.9743561373346723,0.4572098475967175,0.8411144227919837,0.6729551890721306
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",0.03727880880448856,0.02352179542511869,0.021040138109624514,0.5643994211287988,23.994742362484896,1.0,0.02016327359523322,2.241682522794827,0.9954327506807192,0.5291723202170963,0.5539065011073709,0.7294474169864178
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",0.029995684074233923,0.029186447993094517,0.021040138109624514,0.7014388489208633,24.033032354153647,1.0,0.02016467063637459,3.251640571782165,0.9880271526767632,0.5516265912305516,0.6924629343482701,0.7111630473809492
